0000.020|RX|UserTorque(Nm)|Velocity(rad)|Position(mm)|Position(rad)|Roller|Cell1|Cell2|TX|CmdTorque|EccOverload|EasyStart|Inertia|Friction|Vel_H|Vel_L|ViscoConc|ViscoEcc
0001.310|RX|3,37|-0,37|342,35|4,19|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.329|RX|3,18|-0,37|342,94|4,19|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.350|RX|3,07|-0,37|343,52|4,20|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.369|RX|2,96|-0,36|344,11|4,21|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.389|RX|2,83|-0,35|344,69|4,22|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.410|RX|2,72|-0,36|345,25|4,22|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.430|RX|2,86|-0,34|345,81|4,23|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.450|RX|3,08|-0,34|346,38|4,24|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.471|RX|3,13|-0,33|346,94|4,24|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.490|RX|3,31|-0,32|347,49|4,25|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.510|RX|3,29|-0,33|348,02|4,26|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.530|RX|3,13|-0,32|348,54|4,26|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.551|RX|3,03|-0,32|349,06|4,27|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.570|RX|2,76|-0,32|349,58|4,28|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.590|RX|2,37|-0,31|350,09|4,28|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.611|RX|2,18|-0,31|350,59|4,29|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.630|RX|1,89|-0,31|351,08|4,29|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.650|RX|1,72|-0,31|351,57|4,30|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.670|RX|1,79|-0,31|352,06|4,31|11|0,05|0,06|TX|16,84|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.689|RX|1,88|-0,30|352,56|4,31|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.710|RX|2,00|-0,30|353,05|4,32|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.729|RX|2,22|-0,30|353,54|4,32|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.749|RX|2,44|-0,29|354,02|4,33|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.769|RX|2,62|-0,28|354,47|4,34|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.790|RX|2,94|-0,26|354,90|4,34|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.811|RX|3,35|-0,24|355,32|4,35|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.830|RX|3,55|-0,23|355,72|4,35|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.850|RX|3,65|-0,22|356,09|4,36|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.870|RX|3,73|-0,20|356,44|4,36|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.890|RX|3,81|-0,18|356,75|4,36|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.909|RX|3,81|-0,16|357,03|4,37|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.930|RX|3,70|-0,15|357,29|4,37|11|0,05|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.951|RX|3,62|-0,13|357,52|4,37|11|0,05|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.970|RX|3,66|-0,12|357,72|4,38|11|0,05|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.990|RX|3,82|-0,10|357,90|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.010|RX|4,14|-0,09|358,06|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.030|RX|4,63|-0,09|358,20|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.050|RX|5,26|-0,07|358,32|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.070|RX|5,91|-0,06|358,42|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.089|RX|6,33|-0,04|358,50|4,39|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.110|RX|6,35|-0,02|358,55|4,39|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.130|RX|6,21|0,00|358,57|4,39|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.150|RX|6,13|0,02|358,55|4,39|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.170|RX|6,21|0,03|358,51|4,39|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.189|RX|6,46|0,05|358,45|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.210|RX|6,80|0,06|358,35|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.230|RX|7,29|0,08|358,23|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.250|RX|7,82|0,10|358,08|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.270|RX|8,27|0,12|357,90|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.290|RX|8,47|0,13|357,69|4,38|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.310|RX|8,55|0,16|357,44|4,37|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.329|RX|8,38|0,17|357,16|4,37|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.349|RX|7,80|0,20|356,86|4,37|11|0,06|0,06|TX|16,92|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.369|RX|6,68|0,21|356,53|4,36|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.389|RX|5,79|0,22|356,19|4,36|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.409|RX|5,22|0,22|355,84|4,35|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.433|RX|5,00|0,21|355,49|4,35|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.452|RX|5,09|0,21|355,16|4,34|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.470|RX|5,14|0,20|354,83|4,34|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.490|RX|4,88|0,20|354,51|4,34|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.510|RX|4,62|0,20|354,19|4,33|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.530|RX|4,60|0,20|353,88|4,33|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.549|RX|4,70|0,20|353,57|4,33|11|0,06|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.570|RX|4,76|0,19|353,27|4,32|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.590|RX|4,61|0,19|352,96|4,32|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.610|RX|4,28|0,19|352,65|4,31|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.629|RX|3,94|0,19|352,34|4,31|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.650|RX|3,91|0,18|352,03|4,31|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.670|RX|4,33|0,17|351,74|4,30|11|0,05|0,06|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.689|RX|4,89|0,17|351,46|4,30|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.709|RX|5,18|0,17|351,19|4,30|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.729|RX|5,18|0,17|350,92|4,29|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.750|RX|5,20|0,17|350,65|4,29|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.770|RX|5,31|0,17|350,38|4,29|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.790|RX|5,41|0,17|350,12|4,28|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.809|RX|5,48|0,16|349,85|4,28|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.830|RX|5,52|0,16|349,59|4,28|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.850|RX|5,55|0,16|349,33|4,27|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.870|RX|5,44|0,15|349,07|4,27|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.890|RX|5,18|0,15|348,82|4,27|11|0,05|0,05|TX|16,84|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.910|RX|4,92|0,16|348,57|4,26|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.930|RX|4,69|0,15|348,33|4,26|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.949|RX|4,50|0,15|348,08|4,26|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.970|RX|4,45|0,14|347,85|4,26|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0002.989|RX|4,47|0,14|347,63|4,25|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.010|RX|4,51|0,14|347,41|4,25|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.029|RX|4,60|0,13|347,19|4,25|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.049|RX|4,55|0,13|346,97|4,24|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.070|RX|4,33|0,14|346,75|4,24|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.092|RX|3,97|0,14|346,53|4,24|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.110|RX|3,69|0,13|346,31|4,24|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.130|RX|3,66|0,13|346,09|4,23|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.150|RX|3,84|0,13|345,89|4,23|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.170|RX|4,14|0,12|345,68|4,23|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.189|RX|4,24|0,12|345,49|4,23|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.210|RX|4,19|0,12|345,29|4,22|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.230|RX|4,20|0,12|345,10|4,22|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.250|RX|4,30|0,12|344,91|4,22|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.270|RX|4,44|0,11|344,73|4,22|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.290|RX|4,50|0,11|344,55|4,21|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.309|RX|4,44|0,12|344,36|4,21|11|0,05|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.329|RX|4,33|0,12|344,18|4,21|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
0003.349|RX|4,26|0,11|344,00|4,21|11|0,04|0,05|TX|16,77|0,00|4,05|0,70|0,29|20,00|-20,00|0,00|-0,00
